index	file_name	title	composer	year
8	dataset/xml/26-2.xml	26-2	John Coltrane	1960.0
9	dataset/xml/9.20 Special.xml	9.20 Special	Earl Warren	1941.0
10	dataset/xml/A Beautiful Friendship.xml	A Beautiful Friendship	Donald Kahn	
11	dataset/xml/A Certain Smile.xml	A Certain Smile	Fain-Webster	
12	dataset/xml/A Felicidade.xml	A Felicidade	Antonio-Carlos Jobim	1958.0
13	dataset/xml/A Foggy Day.xml	A Foggy Day	George Gershwin	1937.0
14	dataset/xml/A Kiss To Build A Dream On.xml	A Kiss To Build A Dream On	Kalmar-Ruby-Hammerstein	1935.0
15	dataset/xml/A Little Tear.xml	A Little Tear	Deodato-Valle	
16	dataset/xml/A Smooth One.xml	A Smooth One	Benny Goodman	
17	dataset/xml/A Sound For Sore Ears.xml	A Sound For Sore Ears	Jimmy Heath	
18	dataset/xml/A Time For Love.xml	A Time For Love	Johnny Mandel	1966.0
19	dataset/xml/A Tisket A Tasket.xml	A Tisket A Tasket	Traditional	
20	dataset/xml/Across The Alley From The Alamo.xml	Across The Alley From The Alamo	Joe Greene	1946.0
21	dataset/xml/African Queen, The.xml	African Queen, The	Horace Silver	1965.0
22	dataset/xml/Afro Centric.xml	Afro Centric	Joe Henderson	
0	dataset/xml/After You.xml	After You	Cole Porter	1932.0
23	dataset/xml/Again.xml	Again	Lionel Newman	
24	dataset/xml/Ahmid-6.xml	Ahmid-6	Pat Metheny	
25	dataset/xml/Ain't She Sweet.xml	Ain't She Sweet	Milton Ager	1927.0
26	dataset/xml/Alexander's Ragtime Band.xml	Alexander's Ragtime Band	Irving Berlin	1911.0
27	dataset/xml/All About Ronnie.xml	All About Ronnie	Joe Greene	
28	dataset/xml/All Chords.xml	All Chords	Unknown Composer	
29	dataset/xml/All God's Chillun Got Rhythm.xml	All God's Chillun Got Rhythm	Kahn-Kaper	1937.0
30	dataset/xml/All Through The Day.xml	All Through The Day	Kern-Hammerstein	1946.0
31	dataset/xml/All Through The Night.xml	All Through The Night	Cole Porter	1934.0
32	dataset/xml/All Too Soon.xml	All Too Soon	Duke Ellington	1940.0
33	dataset/xml/Almost Like Being In Love.xml	Almost Like Being In Love	Frederick Loewe	1947.0
34	dataset/xml/Alone Together.xml	Alone Together	Arthur Schwartz	1932.0
1	dataset/xml/Always And Forever.xml	Always And Forever	Pat Metheny	
35	dataset/xml/Am I Blue.xml	Am I Blue	Harry Akst	1929.0
36	dataset/xml/And On The Third Day.xml	And On The Third Day	Michael Gibbs	
37	dataset/xml/And The Angels Sing.xml	And The Angels Sing	Ziggy Elman	1939.0
38	dataset/xml/Anything Goes.xml	Anything Goes	Cole Porter	1934.0
39	dataset/xml/April.xml	April	Lennie Tristano	
40	dataset/xml/Armando's Rhumba.xml	Armando's Rhumba	Chick Corea	
41	dataset/xml/As Time Goes By.xml	As Time Goes By	Herman Hupfeld	1931.0
42	dataset/xml/At Last.xml	At Last	Harry Warren	1941.0
43	dataset/xml/Autumn Nocturne.xml	Autumn Nocturne	Gannon-Myrow	
44	dataset/xml/Backstage Sally.xml	Backstage Sally	Wayne Shorter	
45	dataset/xml/Balance, The.xml	Balance, The	Dave Holland	
46	dataset/xml/Ballade.xml	Ballade	Charlie Parker	
47	dataset/xml/Bat, The.xml	Bat, The	Pat Metheny	
48	dataset/xml/Baubles, Bangles and Beads.xml	Baubles, Bangles and Beads	Borodin-Wright-Forrest	1953.0
49	dataset/xml/Be My Love.xml	Be My Love	Nikolaus Brodszky	1950.0
50	dataset/xml/Beatrice.xml	Beatrice	Sam Rivers	1964.0
51	dataset/xml/Begin The Beguine.xml	Begin The Beguine	Cole Porter	1935.0
52	dataset/xml/Bemsha Swing.xml	Bemsha Swing	Thelonious Monk	1952.0
53	dataset/xml/Benny's Tune.xml	Benny's Tune	Lionel Loueke	
54	dataset/xml/Bess You Is My Woman.xml	Bess You Is My Woman	George Gershwin	1935.0
55	dataset/xml/Best Is Yet To Come (Page 1), The.xml	Best Is Yet To Come (Page 1), The	Cy Coleman	1959.0
56	dataset/xml/Best Is Yet To Come (Page 2), The.xml	Best Is Yet To Come (Page 2), The	Cy Coleman	1959.0
57	dataset/xml/Better Days Ahead.xml	Better Days Ahead	Pat Metheny	
58	dataset/xml/Better Git It In Your Soul.xml	Better Git It In Your Soul	Charles Mingus	
59	dataset/xml/Better Than Anything.xml	Better Than Anything	Loughborough-Wheat	1963.0
60	dataset/xml/Bidin' My Time.xml	Bidin' My Time	George Gershwin	
61	dataset/xml/Bill Bailey.xml	Bill Bailey	Traditional	1902.0
62	dataset/xml/Billy Boy.xml	Billy Boy	Traditional	
63	dataset/xml/Black And Blue.xml	Black And Blue	Fats Waller	1929.0
65	dataset/xml/Blood Count.xml	Blood Count	Billy Strayhorn	1967.0
66	dataset/xml/Blue (And Broken Hearted).xml	Blue (And Broken Hearted)	Leslie-Handman-Clarke	
67	dataset/xml/Blue And Sentimental.xml	Blue And Sentimental	Livingstone-David-Basie	1938.0
68	dataset/xml/Blue Daniel.xml	Blue Daniel	Frank Rosolino	
69	dataset/xml/Blue Lou.xml	Blue Lou	Irving Mills	1933.0
70	dataset/xml/Blue Moon.xml	Blue Moon	Richard Rodgers	1934.0
71	dataset/xml/Blue Sphere.xml	Blue Sphere	Thelonious Monk	1971.0
72	dataset/xml/Blue Turning Grey Over You.xml	Blue Turning Grey Over You	Fats Waller	1929.0
73	dataset/xml/Blueberry Hill.xml	Blueberry Hill	Lewis-Stock-Rose	1940.0
74	dataset/xml/Bluehawk.xml	Bluehawk	Thelonious Monk	1959.0
75	dataset/xml/Blues Five Spot.xml	Blues Five Spot	Thelonious Monk	
76	dataset/xml/Blues In The Night.xml	Blues In The Night	Harold Arlen	1941.0
77	dataset/xml/Boo Boo's Birthday.xml	Boo Boo's Birthday	Thelonious Monk	1967.0
78	dataset/xml/Bourbon Street Parade.xml	Bourbon Street Parade	Paul Barbarin	1949.0
79	dataset/xml/Boy Next Door, The.xml	Boy Next Door, The	Martin-Blane	1944.0
80	dataset/xml/Brazilian Like.xml	Brazilian Like	Michel Petrucciani	
81	dataset/xml/Brazilian Suite.xml	Brazilian Suite	Michel Petrucciani	
82	dataset/xml/Bright Mississippi.xml	Bright Mississippi	Thelonious Monk	
83	dataset/xml/Brother Can You Spare A Dime.xml	Brother Can You Spare A Dime	Yarburg-Gorney	1932.0
84	dataset/xml/Brotherhood Of Man.xml	Brotherhood Of Man	Frank Loesser	
85	dataset/xml/But Not For Me.xml	But Not For Me	George Gershwin	1930.0
86	dataset/xml/Butch And Butch.xml	Butch And Butch	Oliver Nelson	
87	dataset/xml/Butterfly Dreams.xml	Butterfly Dreams	Stanley Clarke	
88	dataset/xml/Bye Bye Blues.xml	Bye Bye Blues	Hamm-Bennett-Lown-Gray	1925.0
89	dataset/xml/Bye-Ya.xml	Bye-Ya	Thelonious Monk	
90	dataset/xml/C.T.A..xml	C.T.A.	Jimmy Heath	
91	dataset/xml/Cabin in the Sky.xml	Cabin in the Sky	Vernon Duke	1940.0
92	dataset/xml/Can't We Be Friends.xml	Can't We Be Friends	Swift-James	1929.0
93	dataset/xml/Cantaloupe Island.xml	Cantaloupe Island	Herbie Hancock	1964.0
94	dataset/xml/Catch Me.xml	Catch Me	Joe Pass	1963.0
95	dataset/xml/Charleston, The.xml	Charleston, The	James Johnson	1923.0
96	dataset/xml/Chase, The.xml	Chase, The	Dexter Gordon	1970.0
97	dataset/xml/Cheers.xml	Cheers	Howard McGhee	
98	dataset/xml/Chucho.xml	Chucho	Paquito D'Rivera	
99	dataset/xml/Close Enough For Love.xml	Close Enough For Love	Mandel-Williams	1979.0
100	dataset/xml/Come Back To Me.xml	Come Back To Me	Alan Lerner, Burton Lane	1965.0
101	dataset/xml/Comes Love.xml	Comes Love	Brown-Stept-Tobias	1939.0
102	dataset/xml/Comrade Conrad.xml	Comrade Conrad	Bill Evans	1971.0
103	dataset/xml/Confessin' (That I Love You).xml	Confessin' (That I Love You)	Daugherty-Neiberg-Reynolds	1929.0
104	dataset/xml/Cool One, The.xml	Cool One, The	Benny Golson	
105	dataset/xml/Country.xml	Country	Keith Jarrett	
106	dataset/xml/Crazy Rhythm.xml	Crazy Rhythm	Wolfe-Kahn-Meyer	1928.0
107	dataset/xml/Crepuscule With Nellie.xml	Crepuscule With Nellie	Thelonious Monk	1957.0
108	dataset/xml/Crisis.xml	Crisis	Freddie Hubbard	
2	dataset/xml/Crosscurrent.xml	Crosscurrent	Lennie Tristano	
109	dataset/xml/Cyclic Episode.xml	Cyclic Episode	Sam Rivers	
110	dataset/xml/Cynthia's In Love.xml	Cynthia's In Love	Owens-White-Gish	
111	dataset/xml/Dancing In The Dark.xml	Dancing In The Dark	Arthur Schwartz	1931.0
112	dataset/xml/Danny Boy.xml	Danny Boy	Traditional	
113	dataset/xml/Day Dreaming.xml	Day Dreaming	Jerome Kern	
114	dataset/xml/Day In, Day Out.xml	Day In, Day Out	Rube Bloom	1939.0
115	dataset/xml/Daybreak.xml	Daybreak	Adamson-Grofe	1925.0
116	dataset/xml/Days Of Wine And Roses.xml	Days Of Wine And Roses	Henry Mancini	1962.0
117	dataset/xml/Dear Lord.xml	Dear Lord	John Coltrane	1965.0
118	dataset/xml/Decision.xml	Decision	Sonny Rollins	1957.0
120	dataset/xml/Deep Purple.xml	Deep Purple	Peter De-Rose	
119	dataset/xml/Deep Purple.xml	Deep Purple	Peter De-Rose	1957.0
121	dataset/xml/Del Sasser.xml	Del Sasser	Sam Jones	1978.0
122	dataset/xml/Devil May Care.xml	Devil May Care	Dorough-Kirk	1956.0
123	dataset/xml/Diane.xml	Diane	Rapee-pollack	
124	dataset/xml/Dienda.xml	Dienda	Kenny Kirkland	
125	dataset/xml/Diverse.xml	Diverse	Charlie Parker	
126	dataset/xml/Dolphin, The.xml	Dolphin, The	Luiz Eca	
127	dataset/xml/Domingo.xml	Domingo	Benny Golson	
128	dataset/xml/Don't Be That Way.xml	Don't Be That Way	Edgar Sampson	
129	dataset/xml/Don't Fence Me In.xml	Don't Fence Me In	Cole Porter	1934.0
130	dataset/xml/Don't Go To Strangers.xml	Don't Go To Strangers	Kent-Mason-Evans	
131	dataset/xml/Don't Misunderstand.xml	Don't Misunderstand	Gordon Parks	
132	dataset/xml/Down By The Riverside.xml	Down By The Riverside	Traditional	
133	dataset/xml/Down In The Depths.xml	Down In The Depths	Cole Porter	1936.0
134	dataset/xml/Dream.xml	Dream	Johnny Mercer	1944.0
135	dataset/xml/Driftin'.xml	Driftin'	Herbie Hancock	
136	dataset/xml/Duke, The.xml	Duke, The	Dave Brubeck	
137	dataset/xml/Ecaroh.xml	Ecaroh	Horace Silver	
138	dataset/xml/Eiderdown.xml	Eiderdown	Steve Swallow	
139	dataset/xml/El Cajon.xml	El Cajon	Johnny Mandel	
140	dataset/xml/Embraceable You.xml	Embraceable You	George Gershwin	1928.0
141	dataset/xml/Emily.xml	Emily	Johnny Mandel	1964.0
142	dataset/xml/Eronel.xml	Eronel	Thelonious Monk	1951.0
143	dataset/xml/Eternal Triangle.xml	Eternal Triangle	Sonny Stitt	
144	dataset/xml/Everybody's Song But My Own.xml	Everybody's Song But My Own	Kenny Wheeler	
145	dataset/xml/Everything I've Got Belongs To You.xml	Everything I've Got Belongs To You	Rodgers-Hart	
146	dataset/xml/Evidence.xml	Evidence	Thelonious Monk	1948.0
147	dataset/xml/Fantasy in D (or Ugetsu).xml	Fantasy in D (or Ugetsu)	Cedar Walton	
148	dataset/xml/Fascinating Rhythm.xml	Fascinating Rhythm	George Gershwin	1924.0
149	dataset/xml/Fascination.xml	Fascination	Fernando-Dante Marchetti	
150	dataset/xml/Favela.xml	Favela	Antonio-Carlos Jobim	1962.0
151	dataset/xml/Fine And Dandy.xml	Fine And Dandy	Kay Swift	1930.0
152	dataset/xml/Flamingo.xml	Flamingo	Ted Grouya	1940.0
153	dataset/xml/Flintstones.xml	Flintstones	Hoyt Curtain	
154	dataset/xml/Fools Rush In.xml	Fools Rush In	Rube Bloom	1940.0
155	dataset/xml/For Jan.xml	For Jan	Kenny Wheeler	
156	dataset/xml/For Minors Only.xml	For Minors Only	Jimmy Heath	
157	dataset/xml/For Once In My Life.xml	For Once In My Life	Orlando Murden	1965.0
158	dataset/xml/For You, For Me, For Evermore.xml	For You, For Me, For Evermore	George Gershwin	1936.0
159	dataset/xml/Forever Sonny.xml	Forever Sonny	Jimmy Heath	
160	dataset/xml/Four In One.xml	Four In One	Thelonious Monk	1951.0
161	dataset/xml/Friday The 13th.xml	Friday The 13th	Thelonious Monk	1953.0
162	dataset/xml/Funk In Deep Freeze.xml	Funk In Deep Freeze	Hank Mobley	1957.0
163	dataset/xml/Gallop's Gallop.xml	Gallop's Gallop	Thelonious Monk	1955.0
164	dataset/xml/Gary's Notebook.xml	Gary's Notebook	Lee Morgan	1964.0
165	dataset/xml/Gentle Rain, The.xml	Gentle Rain, The	Luiz Bonfa	1965.0
166	dataset/xml/Gentle Wind And Falling Tear.xml	Gentle Wind And Falling Tear	Gary Burton	
167	dataset/xml/Give Me The Simple Life.xml	Give Me The Simple Life	Rube Bloom	1946.0
168	dataset/xml/Godchild.xml	Godchild	George Wallington	
169	dataset/xml/Golden Earring.xml	Golden Earring	Jay Livingston	1947.0
170	dataset/xml/Good Bait.xml	Good Bait	Tadd Dameron	1944.0
171	dataset/xml/Good Life, The.xml	Good Life, The	Sacha Distel	1962.0
172	dataset/xml/Goodbye Pork Pie Hat.xml	Goodbye Pork Pie Hat	Charles Mingus	1959.0
173	dataset/xml/Goodbye.xml	Goodbye	Gordon Jenkins	1935.0
174	dataset/xml/Green Chimneys.xml	Green Chimneys	Thelonious Monk	1966.0
175	dataset/xml/Hallelujah I Just Love Him So.xml	Hallelujah I Just Love Him So	Ray Charles	1956.0
176	dataset/xml/Happiness Is A Thing Called Joe.xml	Happiness Is A Thing Called Joe	Harold Arlen	1943.0
177	dataset/xml/Harlequin.xml	Harlequin	Wayne Shorter	
178	dataset/xml/He's A Tramp.xml	He's A Tramp	Lee-Burke	
179	dataset/xml/Hello Dolly.xml	Hello Dolly	Jerry Herman	1964.0
180	dataset/xml/Hello.xml	Hello	Milt Jackson	
181	dataset/xml/Here's That Sunny Day.xml	Here's That Sunny Day	Barney Kessel	
182	dataset/xml/Here's To Life.xml	Here's To Life	Artie Butler	1992.0
183	dataset/xml/Heyoke.xml	Heyoke	Kenny Wheeler	
184	dataset/xml/Home At Last.xml	Home At Last	Hank Mobley	
185	dataset/xml/Home Cookin'.xml	Home Cookin'	Horace Silver	
186	dataset/xml/Homecoming.xml	Homecoming	Dave Holland	
187	dataset/xml/Hot House.xml	Hot House	Tadd Dameron	1945.0
188	dataset/xml/How About You.xml	How About You	Burton Lane	1941.0
189	dataset/xml/How Little We Know.xml	How Little We Know	Hoagy Carmichael	1944.0
190	dataset/xml/How Long Has This Been Going On.xml	How Long Has This Been Going On	George Gershwin	1928.0
3	dataset/xml/How My Heart Sings.xml	How My Heart Sings	Earl Zindars	
191	dataset/xml/Hungaria.xml	Hungaria	Django Reinhardt	
192	dataset/xml/I Can't Believe...You're In Love....xml	I Can't Believe...You're In Love...	Jimmy McHugh	1926.0
193	dataset/xml/I Cover The Waterfront.xml	I Cover The Waterfront	Johnny Green	1933.0
194	dataset/xml/I Didn't Know About You.xml	I Didn't Know About You	Duke Ellington	1944.0
195	dataset/xml/I Don't Want To Miss Mississippi.xml	I Don't Want To Miss Mississippi	Serger Ellis	
196	dataset/xml/I Fall In Love Too Easily.xml	I Fall In Love Too Easily	Jule Styne	1944.0
197	dataset/xml/I Found A New Baby.xml	I Found A New Baby	Palmer-Williams	1926.0
198	dataset/xml/I Get A Kick Out Of You.xml	I Get A Kick Out Of You	Cole Porter	1934.0
199	dataset/xml/I Got Rhythm.xml	I Got Rhythm	George Gershwin	1930.0
200	dataset/xml/I Guess I'll Have To Change My Plan.xml	I Guess I'll Have To Change My Plan	Arthur Schwartz	1929.0
201	dataset/xml/I Hadn't Anyone Till You.xml	I Hadn't Anyone Till You	Ray Noble	1938.0
202	dataset/xml/I Love Being Here With You.xml	I Love Being Here With You	Bill Schluger, Peggy Lee	
203	dataset/xml/I Loves You Porgy.xml	I Loves You Porgy	George Gershwin	1935.0
204	dataset/xml/I May Be Wrong.xml	I May Be Wrong	Henry Sullivan	1929.0
205	dataset/xml/I Only Have Eyes For You.xml	I Only Have Eyes For You	Harry Warren	1934.0
206	dataset/xml/I See Your Face Before Me.xml	I See Your Face Before Me	Arthur Schwartz	1937.0
207	dataset/xml/I Surrender Dear.xml	I Surrender Dear	Harry Barris	1931.0
208	dataset/xml/I Think Of You.xml	I Think Of You	Elliot-Marcotte	
209	dataset/xml/I Used To Be Color Blind.xml	I Used To Be Color Blind	Irving Berlin	1938.0
210	dataset/xml/I Want To Be Happy.xml	I Want To Be Happy	Vincent Youmans	1925.0
211	dataset/xml/I Want To Talk About You.xml	I Want To Talk About You	Billy Eckstine	
212	dataset/xml/I Was Doing All Right.xml	I Was Doing All Right	George Gershwin	1937.0
213	dataset/xml/I Wish I Knew.xml	I Wish I Knew	Harry Warren	
214	dataset/xml/I'll Never Be The Same.xml	I'll Never Be The Same	Khan-Malneck-Signorelli	1932.0
215	dataset/xml/I'll Only Miss Her When I Think Of Her.xml	I'll Only Miss Her When I Think Of Her	Cahn-VanHeusen	
216	dataset/xml/I'll See You In My Dreams.xml	I'll See You In My Dreams	Jones-Kahn	1924.0
217	dataset/xml/I'm Confessin' That I Love You.xml	I'm Confessin' That I Love You	Reynolds-Daugherty	1930.0
218	dataset/xml/I'm Getting Sentimental Over You.xml	I'm Getting Sentimental Over You	George Bassman	1932.0
219	dataset/xml/I'm Gonna Sit Right Down and Write Myself A Letter.xml	I'm Gonna Sit Right Down and Write Myself A Letter	Fred Ahlert	1935.0
220	dataset/xml/I'm In The Mood For Love.xml	I'm In The Mood For Love	Jimmy McHugh	1935.0
221	dataset/xml/I'm Through With Love.xml	I'm Through With Love	Kahn-Malneck-Livingston	
222	dataset/xml/I've Got A Crush On You.xml	I've Got A Crush On You	George Gershwin	1928.0
223	dataset/xml/Idle Moments.xml	Idle Moments	Grant Green	1965.0
224	dataset/xml/If Ever I Would Leave You.xml	If Ever I Would Leave You	Frederick Loewe	1960.0
225	dataset/xml/If I Could Be With You.xml	If I Could Be With You	James Johnson	1926.0
226	dataset/xml/If I Had You.xml	If I Had You	Campbell-Connelly-Shapiro	1928.0
227	dataset/xml/If I Ruled The World.xml	If I Ruled The World	Leslie Bricusse	1963.0
228	dataset/xml/If There Is Someone Lovelier.xml	If There Is Someone Lovelier	Dietz-Schwartz	
229	dataset/xml/If You Could See Me Now.xml	If You Could See Me Now	Tadd Dameron	1946.0
230	dataset/xml/If You Ever Should Leave.xml	If You Ever Should Leave	Cahn-Chaplin	
231	dataset/xml/In A Shanty In Old Shanty Town.xml	In A Shanty In Old Shanty Town	Little-Siras	1932.0
232	dataset/xml/In The Middle Of A Kiss.xml	In The Middle Of A Kiss	Sam Coslow	
233	dataset/xml/In Your Own Sweet Way.xml	In Your Own Sweet Way	Dave Brubeck	1955.0
234	dataset/xml/Incentive.xml	Incentive	Horace Silver	
235	dataset/xml/Irresistable You.xml	Irresistable You	Gene DePaul	
236	dataset/xml/Is That So.xml	Is That So	Duke Pearson	
237	dataset/xml/Isn't It A Lovely Day (To Be Caught In The Rain).xml	Isn't It A Lovely Day (To Be Caught In The Rain)	Irving Berlin	1935.0
238	dataset/xml/Isn't It A Pity.xml	Isn't It A Pity	George Gershwin	1933.0
239	dataset/xml/It Ain't Necessarily So.xml	It Ain't Necessarily So	George Gershwin	1935.0
240	dataset/xml/It Had To Be You.xml	It Had To Be You	Isham Jones	1924.0
241	dataset/xml/It Was So Good While It Lasted.xml	It Was So Good While It Lasted	Poll-Ackers	
242	dataset/xml/It's A Dance.xml	It's A Dance	Michel Petrucciani	
243	dataset/xml/It's A Raggy Waltz.xml	It's A Raggy Waltz	Dave Brubeck	1961.0
244	dataset/xml/It's Just Talk.xml	It's Just Talk	Pat Metheny	
245	dataset/xml/It's Magic.xml	It's Magic	Jule Styne	1947.0
246	dataset/xml/Jackie-ing.xml	Jackie-ing	Thelonious Monk	1959.0
247	dataset/xml/Jaco.xml	Jaco	Pat Metheny	
248	dataset/xml/Jazz Folk.xml	Jazz Folk	John Abercrombie	
249	dataset/xml/Je Ne Sais Pas.xml	Je Ne Sais Pas	Hampton-Jones	1954.0
250	dataset/xml/Jeannie's Song.xml	Jeannie's Song	Marchel Ivery	
251	dataset/xml/Jeepers Creepers.xml	Jeepers Creepers	Harry Warren	1938.0
252	dataset/xml/Jinrikisha.xml	Jinrikisha	Joe Henderson	
253	dataset/xml/Joker, The.xml	Joker, The	Lee Morgan	
254	dataset/xml/Joshua.xml	Joshua	Victor Feldman	1963
255	dataset/xml/Just Friends.xml	Just Friends	John Klenner	1931
256	dataset/xml/Just In Tune.xml	Just In Tune	John Abercrombie	
257	dataset/xml/Just One Of Those Things.xml	Just One Of Those Things	Cole Porter	1935
258	dataset/xml/Just You, Just Me.xml	Just You, Just Me	Jesse Greer	1929
259	dataset/xml/Keepin' Myself For You.xml	Keepin' Myself For You	Vincent Youmans	
260	dataset/xml/Ko Ko.xml	Ko Ko	Charlie Parker	1945
261	dataset/xml/La Fiesta.xml	La Fiesta	Chick Corea	1972
262	dataset/xml/La Vie En Rose.xml	La Vie En Rose	Louiguy-Piaf	1945
263	dataset/xml/Ladies In Mercedes.xml	Ladies In Mercedes	Steve Swallow	
264	dataset/xml/Lamp Is Low, The.xml	Lamp Is Low, The	DeRose-Shefter	1939
265	dataset/xml/Last Train Home.xml	Last Train Home	Pat Metheny	
266	dataset/xml/Laura.xml	Laura	David Raksin	1945
267	dataset/xml/Laurie.xml	Laurie	Bill Evans	
268	dataset/xml/Leaving.xml	Leaving	Richie Beirach	1976
269	dataset/xml/Lennie-Bird.xml	Lennie-Bird	Lennie Tristano	
270	dataset/xml/Let There Be You.xml	Let There Be You	Young-Cavanaugh	
271	dataset/xml/Let's Call The Whole Thing Off.xml	Let's Call The Whole Thing Off	George Gershwin	1937
272	dataset/xml/Let's Call This.xml	Let's Call This	Thelonious Monk	1953
273	dataset/xml/Let's Do It (Let's Fall In Love).xml	Let's Do It (Let's Fall In Love)	Cole Porter	1928
274	dataset/xml/Li'l Darling.xml	Li'l Darling	Neal Hefti	1957
275	dataset/xml/Light Blue.xml	Light Blue	Thelonious Monk	1957
276	dataset/xml/Ligia.xml	Ligia	Antonio-Carlos Jobim	
277	dataset/xml/Like A Lover.xml	Like A Lover	Dori Caymmi-Nelson Motta	
278	dataset/xml/Lily of The Valley.xml	Lily of The Valley	Traditional	
279	dataset/xml/Little B's Poem.xml	Little B's Poem	Bobby Hutcherson	1966
280	dataset/xml/Little Dancer.xml	Little Dancer	Tom Harrell	
281	dataset/xml/Little Niles.xml	Little Niles	Randy Weston	1958
282	dataset/xml/Little Peace In C For You.xml	Little Peace In C For You	Michel Petrucciani	
283	dataset/xml/Liza.xml	Liza	George Gershwin	1929
4	dataset/xml/Lone Jack (Page 1).xml	Lone Jack (Page 1)	Pat Metheny	1978
5	dataset/xml/Lone Jack (Page 2 - Solos).xml	Lone Jack (Page 2 - Solos)	Pat Metheny	1978
284	dataset/xml/Lonesome Road, The.xml	Lonesome Road, The	Austin-Shilkret	1927
285	dataset/xml/Looking Up.xml	Looking Up	Michel Petrucciani	
286	dataset/xml/Loop, The.xml	Loop, The	Chick Corea	
287	dataset/xml/Lotus Eaters Bittersweet.xml	Lotus Eaters Bittersweet	Billy Strayhorn	
288	dataset/xml/Love For Sale.xml	Love For Sale	Cole Porter	1930
289	dataset/xml/Love Walked In.xml	Love Walked In	George Gershwin	1930
290	dataset/xml/Lullaby In Rhythm.xml	Lullaby In Rhythm	Goodman-Hirsch	
291	dataset/xml/Lulu's Back In Town.xml	Lulu's Back In Town	Harry Warren	1935
292	dataset/xml/Lyresto.xml	Lyresto	Kenny Burrell	
293	dataset/xml/Ma Belle Hélène.xml	Ma Belle Hélène	Kenny Wheeler	1960
294	dataset/xml/Mack The Knife.xml	Mack The Knife	Weill-Brecht	1928
295	dataset/xml/Making Whoopee.xml	Making Whoopee	Walter Donaldson	1928
296	dataset/xml/Man I Love, The.xml	Man I Love, The	George Gershwin	1924
297	dataset/xml/Manoir De Mes Rêves (Django's Castle).xml	Manoir De Mes Rêves (Django's Castle)	Django Reinhardt	
298	dataset/xml/Maybe September.xml	Maybe September	Percy Faith	
299	dataset/xml/Maze, The.xml	Maze, The	Herbie Hancock	
300	dataset/xml/Mc Jolt.xml	Mc Jolt	Richie Beirach	
301	dataset/xml/Midnight Blue.xml	Midnight Blue	Kenny Burrell	1963
302	dataset/xml/Mimosa.xml	Mimosa	George Benson	
303	dataset/xml/Minoat.xml	Minoat	Mal Waldron	1978
304	dataset/xml/Minor Strain.xml	Minor Strain	Bobby Timmons	
305	dataset/xml/Mirror, Mirror.xml	Mirror, Mirror	Corea Chick	
306	dataset/xml/Misterioso.xml	Misterioso	Thelonious Monk	1948
307	dataset/xml/Moments To Remember.xml	Moments To Remember	Robert Allen	1955
